(-210.0, -240.0)
(-200.0, -240.0)
(-190.0, -240.0)
(-180.0, -240.0)
(-170.0, -240.0)
(-160.0, -240.0)
(-152.0, -240.0)
(-210.0, -230.0)
(-200.0, -230.0)
(-190.0, -230.0)
(-180.0, -230.0)
(-170.0, -230.0)
(-160.0, -230.0)
(-152.0, -230.0)
(-210.0, -220.0)
(-200.0, -220.0)
(-190.0, -220.0)
(-180.0, -220.0)
(-170.0, -220.0)
(-160.0, -220.0)
(-152.0, -220.0)
(-210.0, -210.0)
(-200.0, -210.0)
(-190.0, -210.0)
(-180.0, -210.0)
(-170.0, -210.0)
(-160.0, -210.0)
(-152.0, -210.0)
(-210.0, -200.0)
(-200.0, -200.0)
(-190.0, -200.0)
(-180.0, -200.0)
(-170.0, -200.0)
(-160.0, -200.0)
(-152.0, -200.0)
